Lat (DD),Long (DD),Depth
50.398892071,-003.513604779,-0.02000
50.398889264,-003.513600138,-0.02000
50.398892644,-003.513572005,0.07100
50.398909145,-003.513634802,-0.01100
50.398910349,-003.513614977,-0.07900
50.398895280,-003.513603862,0.02300
50.398892816,-003.513572464,0.09300
50.398902614,-003.513547426,0.25300
50.398928168,-003.513663220,-0.01100
50.398922438,-003.513633255,-0.02200
50.398919000,-003.513630734,-0.11400
50.398911724,-003.513581631,0.15000
50.398910750,-003.513576360,0.24500
50.398911896,-003.513542097,0.32900
50.398915964,-003.513520267,0.48800
50.398928397,-003.513492135,0.81200
50.398944783,-003.513690951,-0.01300
50.398930116,-003.513666257,-0.01700
50.398929829,-003.513658808,-0.02000
50.398928855,-003.513631937,0.10000
50.398937507,-003.513587418,0.17500
50.398933095,-003.513571318,0.22700
50.398934184,-003.513528575,0.35600
50.398929371,-003.513516658,0.64900
50.398944841,-003.513489328,0.81800
50.398947132,-003.513462628,1.04700
50.398963691,-003.513720115,-0.17800
50.398963462,-003.513704531,-0.50400
50.398946273,-003.513688488,-0.01400
50.398961972,-003.513661272,0.15500
50.398947992,-003.513633083,0.29200
50.398946617,-003.513605008,0.33400
50.398946961,-003.513559171,0.34500
50.398947190,-003.513544733,0.52700
50.398946961,-003.513514251,0.73400
50.398959165,-003.513481707,0.94900
50.398947992,-003.513462742,1.03500
50.398963806,-003.513436501,1.45800
50.398981796,-003.513748877,-0.25400
50.398979848,-003.513743950,-0.25400
50.398966785,-003.513708599,-0.45900
50.398964207,-003.513688946,0.06600
50.398976984,-003.513640990,0.22300
50.398973087,-003.513617212,0.40100
50.398965123,-003.513605237,0.45200
50.398964780,-003.513576131,0.66600
50.398967071,-003.513548915,0.79500
50.398966670,-003.513505141,0.87100
50.398965811,-003.513492765,1.04300
50.398979275,-003.513464060,1.12200
50.398968676,-003.513436444,1.39000
50.398969707,-003.513408139,1.98400
50.398977327,-003.513380122,2.42400
50.398996464,-003.513766525,-1.41500
50.398998813,-003.513720115,-0.27200
50.398998298,-003.513717307,-0.30700
50.398982369,-003.513689977,0.18100
50.398988901,-003.513652334,0.35400
50.398992282,-003.513629072,0.48700
50.398983000,-003.513603862,0.69900
50.398999845,-003.513553671,0.71400
50.398993599,-003.513527945,0.84200
50.398991078,-003.513519465,0.92700
50.398988557,-003.513479587,0.96700
50.398985693,-003.513461195,1.18700
50.398985005,-003.513433292,1.65400
50.398984890,-003.513408426,2.17100
50.398983630,-003.513380065,2.50200
50.398995261,-003.513351760,2.59300
50.398997725,-003.513305523,2.63500
50.399001678,-003.513291027,2.65700
50.399013080,-003.513736330,-1.45800
50.399000074,-003.513718282,-0.29600
50.399000188,-003.513690035,0.24800
50.399000360,-003.513656173,0.43800
50.399000475,-003.513632510,0.72900
50.399000532,-003.513605008,0.93100
50.399001277,-003.513567135,0.75400
50.399003741,-003.513543358,1.00800
50.399015773,-003.513521069,1.15200
50.399003110,-003.513493224,1.29600
50.399002308,-003.513464404,1.65000
50.399001334,-003.513436501,2.03300
50.399001449,-003.513408770,2.33800
50.399009356,-003.513380580,2.60600
50.399001735,-003.513343510,2.69600
50.399002022,-003.513296470,2.68300
50.399010673,-003.513268567,2.61800
50.399018924,-003.513240377,2.49600
50.399019898,-003.513223475,2.29900
50.399031071,-003.510511265,4.35700
50.399031243,-003.510482903,4.33700
50.399031415,-003.510455172,4.32000
50.399031586,-003.510431452,4.27700
50.399031816,-003.510398793,4.25000
50.399031930,-003.510379255,4.21400
50.399032159,-003.510341956,4.22100
50.399032159,-003.510339492,4.21800
50.399032503,-003.510287582,4.18900
50.399032732,-003.510257903,4.14800
50.399032847,-003.510234354,4.11100
50.399033076,-003.510204618,4.05400
50.399032560,-003.510192357,4.04200
50.399033305,-003.510147952,3.96200
50.399033649,-003.510129961,3.89400
50.399033764,-003.510093808,3.87600
50.399031701,-003.513780218,-2.01900
50.399028836,-003.513761311,-2.01300
50.399026888,-003.513741830,-1.53500
50.399025169,-003.513718568,-0.20900
50.399018867,-003.513690264,0.34200
50.399018351,-003.513661673,0.75500
50.399018466,-003.513633656,1.01100
50.399018924,-003.513578652,1.06000
50.399020815,-003.513559114,1.06500
50.399018924,-003.513525481,1.18100
50.399019096,-003.513521356,1.39000
50.399020356,-003.513493338,1.68200
50.399020013,-003.513463774,2.00900
50.399019325,-003.513437074,2.32200
50.399020700,-003.513408598,2.49700
50.399029581,-003.513380752,2.63800
50.399020127,-003.513352448,2.82500
50.399019898,-003.513322081,2.90100
50.399020299,-003.513268624,2.74700
50.399022133,-003.513240320,2.49000
50.399024195,-003.513216428,2.17600
50.399032274,-003.510512010,4.37000
50.399032446,-003.510486284,4.34800
50.399033821,-003.510455917,4.31700
50.399036285,-003.510429045,4.29000
50.399036399,-003.510398335,4.24500
50.399037660,-003.510370604,4.20000
50.399040066,-003.510343847,4.18500
50.399050838,-003.510334794,4.18500
50.399033649,-003.510285978,4.19600
50.399033649,-003.510278128,4.12400
50.399045738,-003.510230859,4.07500
50.399034050,-003.510212181,4.03100
50.399038004,-003.510175340,3.99900
50.399051010,-003.510146692,3.88700
50.399045567,-003.510134545,3.86300
50.399050150,-003.510088880,3.76900
50.399050265,-003.510065332,3.72300
50.399040868,-003.510033647,3.69200
50.399047744,-003.510009869,3.59000
50.399048775,-003.509996348,3.56900
50.399045452,-003.509948162,3.49500
50.399045509,-003.509947532,3.49600
50.399051182,-003.509891783,3.54800
50.399052213,-003.509863937,3.41900
50.399052270,-003.509850816,3.39000
50.399047457,-003.509835347,3.39400
50.399053302,-003.513803423,-2.06300
50.399050494,-003.513799985,-2.09400
50.399035941,-003.513772369,-1.76100
50.399038118,-003.513740856,-1.44700
50.399053817,-003.513717365,-0.39200
50.399046426,-003.513686769,0.47200
50.399038405,-003.513661845,1.02400
50.399037087,-003.513634057,1.23100
50.399036571,-003.513605982,1.31900
50.399038748,-003.513574813,1.37100
50.399039035,-003.513543529,1.51000
50.399037201,-003.513521528,1.69300
50.399037373,-003.513493567,1.97700
50.399047801,-003.513449221,2.02800
50.399041441,-003.513432089,2.46300
50.399037602,-003.513400576,2.58900
50.399039264,-003.513380236,2.67100
50.399037774,-003.513352906,2.87100
50.399040696,-003.513318357,2.90800
50.399040066,-003.513268567,2.93600
50.399039149,-003.513240549,2.70500
50.399040868,-003.513216199,2.31800
50.399053989,-003.513211844,2.55700
50.399060693,-003.510515906,4.38800
50.399060349,-003.510483018,4.32900
50.399060120,-003.510464798,4.31800
50.399054104,-003.510428530,4.25900
50.399053932,-003.510401257,4.23200
50.399063099,-003.510370317,4.21100
50.399062813,-003.510352785,4.16800
50.399055880,-003.510318923,4.15800
50.399054505,-003.510307120,4.18100
50.399051755,-003.510264836,4.16800
50.399064589,-003.510232521,4.09100
50.399066250,-003.510201810,4.06200
50.399069001,-003.510178949,4.01900
50.399052041,-003.510154312,3.90300
50.399068829,-003.510121596,3.79500
50.399068313,-003.510098735,3.70700
50.399068485,-003.510075359,3.69400
50.399054447,-003.510045794,3.66100
50.399052557,-003.510005744,3.59300
50.399068313,-003.509976523,3.50800
50.399069230,-003.509970335,3.48800
50.399068886,-003.509941630,3.51600
50.399068313,-003.509894304,3.50300
50.399064302,-003.509863880,3.38400
50.399064933,-003.509846748,3.29900
50.399056911,-003.509835518,3.38200
50.399066938,-003.513837457,-1.89100
50.399068829,-003.513806001,-2.32400
50.399068829,-003.513799126,-2.36200
50.399056224,-003.513774947,-1.75000
50.399063787,-003.513743778,-0.92600
50.399059031,-003.513718740,-0.55900
50.399054333,-003.513688889,0.77700
50.399054619,-003.513661788,1.24100
50.399054447,-003.513633369,1.44000
50.399055250,-003.513599450,1.55000
50.399054906,-003.513568109,1.63100
50.399056968,-003.513545363,1.84100
50.399055135,-003.513521471,2.01000
50.399055421,-003.513493682,2.31500
50.399055880,-003.513449278,2.11000
50.399057140,-003.513436959,2.58800
50.399055593,-003.513409113,2.69600
50.399068313,-003.513380466,2.81000
50.399058745,-003.513353078,2.97300
50.399055880,-003.513309648,2.94800
50.399057198,-003.513273437,3.11800
50.399056166,-003.513240549,2.95700
50.399056224,-003.513212761,2.57600
50.399057656,-003.513212245,2.60700
50.399068141,-003.510511551,4.35100
50.399083611,-003.510485424,4.34900
50.399082981,-003.510459412,4.35400
50.399070605,-003.510430363,4.32700
50.399085101,-003.510399137,4.25100
50.399083325,-003.510371349,4.21900
50.399081778,-003.510356681,4.19400
50.399072152,-003.510329580,4.18100
50.399070719,-003.510313824,4.19400
50.399074329,-003.510278014,4.17500
50.399083267,-003.510230114,4.10000
50.399078111,-003.510203988,4.02700
50.399082637,-003.510177402,3.93600
50.399087679,-003.510145431,3.86500
50.399078397,-003.510122570,3.76300
50.399079142,-003.510089625,3.70300
50.399087507,-003.510062582,3.67700
50.399087106,-003.510032902,3.60500
50.399087851,-003.510005114,3.53800
50.399087564,-003.509984774,3.45500
50.399081606,-003.509955954,3.43000
50.399087106,-003.509948047,3.45000
50.399086361,-003.509892757,3.46800
50.399080288,-003.509864911,3.36200
50.399082121,-003.509840503,3.29500
50.399079887,-003.509835633,3.35400
50.399086304,-003.513839577,-2.17900
50.399071579,-003.513807376,-2.25500
50.399071636,-003.513799928,-2.22400
50.399086533,-003.513773973,-1.20900
50.399082064,-003.513740283,-0.52000
50.399072037,-003.513713239,0.09500
50.399079371,-003.513689175,0.41800
50.399072324,-003.513662590,1.43500
50.399072553,-003.513634400,1.66100
50.399072782,-003.513606497,1.77100
50.399072725,-003.513578021,1.94900
50.399072839,-003.513550004,2.16400
50.399074043,-003.513521929,2.31600
50.399073355,-003.513493682,2.50000
50.399086648,-003.513448991,2.60000
50.399077824,-003.513411062,2.42100
50.399076392,-003.513407624,2.40600
50.399073928,-003.513377658,2.82700
50.399079658,-003.513347635,3.01800
50.399091632,-003.513324774,3.16900
50.399091690,-003.513285125,3.25000
50.399075647,-003.513243357,3.17900
50.399074386,-003.513212818,2.95900
50.399077022,-003.513184858,2.71700
50.399081720,-003.513156439,2.24100
50.399082465,-003.513138620,1.99500
50.399084814,-003.513127619,2.02400
50.399094497,-003.510511494,4.35800
50.399096789,-003.510483591,4.32500
50.399099081,-003.510458782,4.31300
50.399103722,-003.510444744,4.31800
50.399093752,-003.510399481,4.24400
50.399104237,-003.510373755,4.21400
50.399087278,-003.510347399,4.20100
50.399090028,-003.510329809,4.18000
50.399089226,-003.510298296,4.19500
50.399102060,-003.510267872,4.01400
50.399102404,-003.510232120,4.07800
50.399095586,-003.510213785,3.99500
50.399092263,-003.510178777,3.94500
50.399088768,-003.510146062,3.87000
50.399092664,-003.510122914,3.76400
50.399090888,-003.510097990,3.65600
50.399100857,-003.510063842,3.62800
50.399105269,-003.510033189,3.54200
50.399101487,-003.510005286,3.45700
50.399102404,-003.509977727,3.42100
50.399103321,-003.509950511,3.41500
50.399100857,-003.509944209,3.43200
50.399100399,-003.509892872,3.46300
50.399089512,-003.509864281,3.35600
50.399093924,-003.509844686,3.33600
50.399089169,-003.509835748,3.35400
50.399106701,-003.513864844,-2.14900
50.399092950,-003.513847827,-2.16100
50.399104639,-003.513820841,-1.88900
50.399090429,-003.513783942,-1.50800
50.399089799,-003.513771968,-0.98300
50.399097362,-003.513746929,-0.44100
50.399090257,-003.513718453,0.45300
50.399091117,-003.513689576,0.80400
50.399091403,-003.513662876,1.58100
50.399090372,-003.513634114,1.81900
50.399090487,-003.513606497,1.99300
50.399096846,-003.513551436,2.17400
50.399096503,-003.513549087,2.20800
50.399106644,-003.513513048,2.27400
50.399093867,-003.513492937,2.68500
50.399092893,-003.513437991,2.56800
50.399096789,-003.513429396,2.52300
50.399091690,-003.513403040,2.86300
50.399091632,-003.513381497,2.95500
50.399095357,-003.513338869,3.05100
50.399094726,-003.513322024,2.99900
50.399092492,-003.513285641,3.18900
50.399097247,-003.513266275,3.27000
50.399092320,-003.513226856,3.30700
50.399092549,-003.513184972,3.37200
50.399092435,-003.513157069,2.80100
50.399092664,-003.513128593,2.16000
50.399098909,-003.513104185,2.03900
50.399102060,-003.513092898,1.81200
50.399120395,-003.510512525,4.39200
50.399122056,-003.510484279,4.30200
50.399120681,-003.510455803,4.26800
50.399120452,-003.510436666,4.23200
50.399118963,-003.510407388,4.22300
50.399120681,-003.510375187,4.19000
50.399115353,-003.510369401,4.19200
50.399122400,-003.510337028,4.20400
50.399110941,-003.510288442,4.20900
50.399120280,-003.510258762,4.14600
50.399121025,-003.510230974,4.04700
50.399113978,-003.510203587,3.99200
50.399123432,-003.510174881,3.87400
50.399122171,-003.510146520,3.78400
50.399116384,-003.510120508,3.72900
50.399120911,-003.510095527,3.61200
50.399123088,-003.510062181,3.58000
50.399118390,-003.510033189,3.49800
50.399122916,-003.510005114,3.42200
50.399122859,-003.509999384,3.39800
50.399123890,-003.509968101,3.40000
50.399118103,-003.509923697,3.41000
50.399123661,-003.509892585,3.41400
50.399123546,-003.509869323,3.37200
50.399122400,-003.509854770,3.36700
50.399112946,-003.509831508,3.36900
50.399123947,-003.513870402,-2.34700
50.399110769,-003.513851093,-1.94600
50.399108649,-003.513831613,-1.61300
50.399107675,-003.513803710,-0.91600
50.399110998,-003.513763373,-0.16100
50.399107962,-003.513741085,0.14200
50.399111514,-003.513694045,1.09000
50.399110082,-003.513691353,1.27600
50.399108477,-003.513663220,1.79000
50.399109108,-003.513634343,1.98800
50.399109222,-003.513601513,2.15700
50.399108649,-003.513577792,2.33600
50.399109566,-003.513550462,2.49900
50.399109451,-003.513510756,2.58800
50.399115697,-003.513481650,2.68900
50.399116212,-003.513465894,2.78200
50.399109451,-003.513437819,2.89400
50.399109852,-003.513408082,2.99900
50.399115124,-003.513365798,2.98500
50.399113863,-003.513350958,3.02900
50.399112259,-003.513322425,3.07300
50.399111342,-003.513296012,3.34200
50.399117874,-003.513247883,3.38500
50.399110655,-003.513222157,3.35100
50.399125093,-003.513212990,3.53000
50.399110998,-003.513156840,3.52300
50.399111113,-003.513128880,2.66200
50.399110655,-003.513105331,2.27500
50.399111972,-003.513083788,1.96800
50.399123661,-003.513071985,2.19000
50.399122458,-003.510512124,4.38400
50.399123202,-003.510484164,4.31800
50.399122916,-003.510462277,4.27900
50.399122687,-003.510440505,4.22400
50.399129448,-003.510415409,4.22500
50.399132656,-003.510372838,4.16600
50.399133458,-003.510344018,4.13200
50.399140448,-003.510317089,4.14300
50.399140448,-003.510314225,4.15900
50.399139532,-003.510259278,4.14800
50.399131739,-003.510230630,4.04400
50.399137412,-003.510203816,3.94100
50.399135750,-003.510176428,3.84300
50.399141422,-003.510153395,3.75000
50.399137412,-003.510127097,3.70300
50.399134833,-003.510097532,3.56800
50.399140563,-003.510064988,3.52700
50.399135693,-003.510035824,3.47200
50.399128588,-003.510011474,3.37900
50.399142167,-003.509978930,3.37400
50.399138615,-003.509951141,3.36700
50.399132713,-003.509928509,3.38000
50.399138214,-003.509895908,3.31500
50.399138214,-003.509892413,3.33700
50.399141079,-003.509848754,3.36400
50.399136667,-003.509830419,3.36300
50.399142855,-003.513918759,-1.66900
50.399135750,-003.513901743,-2.07900
50.399125781,-003.513874183,-2.32300
50.399126812,-003.513859573,-1.82800
50.399125494,-003.513829149,-1.19300
50.399127729,-003.513804053,-0.01500
50.399127328,-003.513775864,0.62000
50.399125838,-003.513747732,1.22100
50.399126296,-003.513719599,1.51200
50.399126067,-003.513691353,1.71700
50.399126526,-003.513660986,1.87400
50.399126526,-003.513635260,2.15100
50.399128015,-003.513607013,2.30800
50.399136610,-003.513577620,2.44200
50.399128760,-003.513550806,2.62000
50.399130937,-003.513522559,2.71800
50.399137183,-003.513488010,2.72100
50.399127385,-003.513460852,2.84700
50.399132083,-003.513438277,2.92000
50.399127328,-003.513409285,3.04500
50.399132427,-003.513358349,3.09900
50.399129333,-003.513352849,3.07600
50.399139646,-003.513325634,3.25600
50.399130078,-003.513297501,3.43000
50.399128416,-003.513243643,3.40900
50.399135349,-003.513219694,3.27300
50.399142798,-003.513213105,3.45300
50.399145892,-003.513184743,3.57900
50.399129562,-003.513128880,3.39300
50.399128989,-003.513100805,2.62200
50.399130364,-003.513072845,2.30900
50.399134260,-003.513066771,2.26100
50.399148642,-003.512633271,3.81300
50.399148699,-003.512622328,3.86300
50.399156778,-003.510737698,4.43200
50.399147668,-003.510512010,4.40100
50.399154028,-003.510484565,4.33500
50.399153856,-003.510477002,4.32000
50.399142396,-003.510432712,4.27000
50.399145720,-003.510399653,4.26100
50.399143943,-003.510372093,4.18900
50.399143542,-003.510349805,4.15900
50.399141766,-003.510319095,4.13500
50.399141652,-003.510314683,4.15100
50.399154772,-003.510258705,4.14700
50.399152882,-003.510234125,4.04300
50.399150934,-003.510203128,3.91500
50.399146636,-003.510174595,3.85300
50.399144746,-003.510146520,3.75700
50.399159184,-003.510118560,3.68800
50.399157523,-003.510091974,3.54200
50.399155918,-003.510070775,3.48000
50.399156606,-003.510033647,3.43400
50.399150303,-003.510006031,3.38800
50.399146808,-003.509993999,3.37300
50.399149902,-003.509974633,3.37400
50.399159356,-003.509923754,3.36800
50.399157007,-003.509919170,3.37500
50.399151793,-003.509866917,3.38300
50.399151392,-003.509841363,3.33600
50.399151277,-003.509830992,3.33500
50.399158726,-003.513919332,-2.19700
50.399146006,-003.513905295,-2.19900
50.399143772,-003.513886101,-2.16400
50.399144746,-003.513860432,-1.07100
50.399146751,-003.513831670,-0.35200
50.399160903,-003.513802449,0.34000
50.399147668,-003.513775635,0.81200
50.399154715,-003.513746013,1.39400
50.399143943,-003.513717136,1.67700
50.399146923,-003.513691410,1.83600
50.399150017,-003.513661788,2.04400
50.399144287,-003.513635203,2.22600
50.399144746,-003.513607013,2.36100
50.399145319,-003.513578824,2.49800
50.399145147,-003.513542555,2.72900
50.399156147,-003.513508235,2.71000
50.399162908,-003.513467842,2.68700
50.399162393,-003.513462112,2.66700
50.399161018,-003.513438162,2.85700
50.399145605,-003.513409171,3.07900
50.399145662,-003.513380695,3.23700
50.399145605,-003.513348953,3.27600
50.399145720,-003.513323628,3.31100
50.399163424,-003.513288277,3.40700
50.399163882,-003.513268796,3.47500
50.399148642,-003.513231153,3.46400
50.399148413,-003.513191046,3.48000
50.399160273,-003.513167211,3.42000
50.399164226,-003.513157069,3.44700
50.399148011,-003.513101263,3.08400
50.399147209,-003.513073360,2.62200
50.399149730,-003.513048322,2.41700
50.399153168,-003.513044025,2.46400
50.399164685,-003.513016294,2.50000
50.399165487,-003.512660601,3.86700
50.399153111,-003.512638371,3.78800
50.399151793,-003.512617572,3.76600
50.399166862,-003.512588581,4.03900
50.399155575,-003.512200803,3.34500
50.399155403,-003.512191521,2.89500
50.399162164,-003.510741250,4.36900
50.399160960,-003.510736666,4.38300
50.399174425,-003.510707732,4.45100
50.399159012,-003.510513270,4.43400
50.399161304,-003.510484393,4.34400
50.399175513,-003.510458897,4.29000
50.399175342,-003.510452766,4.28700
50.399174024,-003.510409164,4.26500
50.399170070,-003.510374729,4.20000
50.399158668,-003.510369859,4.20600
50.399158898,-003.510320814,4.18400
50.399176373,-003.510301219,4.18200
50.399160044,-003.510259278,4.14600
50.399159356,-003.510230859,4.05500
50.399161247,-003.510202555,3.96500
50.399160674,-003.510181184,3.87200
50.399161304,-003.510157292,3.76800
50.399164226,-003.510118731,3.57200
50.399172076,-003.510091058,3.52800
50.399174998,-003.510067738,3.47900
50.399170643,-003.510034908,3.42500
50.399162106,-003.510007635,3.38600
50.399177748,-003.509980477,3.26800
50.399175456,-003.509976466,3.27000
50.399165659,-003.509921233,3.38000
50.399165544,-003.509915160,3.37500
50.399165945,-003.509892356,3.39900
50.399165487,-003.509839987,3.35000
50.399167034,-003.509830992,3.34200
50.399174769,-003.513947923,-1.94700
50.399172534,-003.513925921,-2.28500
50.399163309,-003.513904894,-2.22900
50.399167721,-003.513888221,-1.68800
50.399161533,-003.513860146,-1.05100
50.399165429,-003.513829665,0.31100
50.399161992,-003.513804053,0.38600
50.399175055,-003.513776265,1.37200
50.399162565,-003.513747903,1.68000
50.399162679,-003.513718683,1.80800
50.399162450,-003.513690207,1.93300
50.399162851,-003.513663793,2.09400
50.399164398,-003.513634114,2.29200
50.399174654,-003.513606669,2.45700
50.399175456,-003.513563010,2.21200
50.399162736,-003.513551035,2.74500
50.399163424,-003.513495229,2.76600
50.399170471,-003.513470076,2.60800
50.399175456,-003.513461425,2.61200
50.399168122,-003.513438621,2.83600
50.399169211,-003.513410145,3.03200
50.399169497,-003.513382070,3.29700
50.399164283,-003.513353708,3.37400
50.399168294,-003.513325347,3.41300
50.399167492,-003.513288105,3.38200
50.399178034,-003.513269598,3.46200
50.399181759,-003.513240778,3.56000
50.399164570,-003.513186405,3.60000
50.399170414,-003.513159476,3.41600
50.399176487,-003.513140568,3.35500
50.399180498,-003.513129109,3.41900
50.399164914,-003.513073475,2.89200
50.399165086,-003.513045056,2.67100
50.399165429,-003.513019330,2.45900
50.399176889,-003.512994808,2.19500
50.399182504,-003.512986786,2.63500
